# ----------------------------------------
# Queries: Organic Google Search query
# Account: Nashville CARES
# Property: Cares360 Clinic
# ----------------------------------------
# 
# All Users
# Start date: 20251001
# End date: 20260630
Organic Google Search query,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position
fast sti testing near me,0,4,0,10
fax 360,0,2,0,25.5
finding a doctor without insurance,0,3,0,13
firsthand cares,0,1,0,90
firsthand health,0,2,0,64
firsthandcares,0,1,0,80
flu shot near me,0,1,0,2
flu shots near me,0,1,0,1
flu shots near me free,0,1,0,13
flu vaccine for kids near me,0,1,0,9
fpk services,0,1,0,24
fqhc in tennessee,0,1,0,25
fqhc nashville,0,2,0,12.5
fqhcs,0,1,0,41
free,0,1,0,13
free aids testing,0,2,0,6
free and low cost clinics near me,0,1,0,4
free biometric screening near me,0,1,0,10
free birth control tennessee,0,1,0,1
free bv testing near me,0,1,0,1
free care,0,1,0,3
free cervical cancer screening near me,0,1,0,4
free charitable clinics near me,0,3,0,2
free check up,0,1,0,10
free chlamydia test,0,1,0,4
free chlamydia treatment,0,3,0,2
free clinic,0,9,0,10.444444444444445
free clinic check up,0,1,0,12
free clinic for pregnancy check up near me,0,1,0,4
free clinic for std testing,0,2,0,8
free clinic for stds near me,0,1,0,5
free clinic memphis,0,1,0,8
free clinic memphis tn,0,1,0,11
free clinic nashville,0,27,0,37.851851851851855
free clinic nashville tn,0,14,0,38.42857142857143
free clinic near me for std testing,0,1,0,89
free clinic near me no insurance,0,2,0,11
free clinic near me std testing,0,2,0,8.5
free clinic near me within 5 mi,0,3,0,5.333333333333333
free clinic near me without insurance,0,1,0,2
free clinic no insurance,0,2,0,3.5
free clinic no insurance near me,0,1,0,7
free clinic std testing,0,6,0,6.833333333333333
free clinic std testing near me,0,3,0,4.666666666666666
free clinic testing,0,4,0,5
free clinic testing near me,0,1,0,1
free clinic volunteering near me,0,1,0,8
free clinic walk in,0,2,0,2
free clinics,0,4,0,8.25
free clinics for chlamydia testing,0,4,0,1.25
free clinics for std testing,0,1,0,7
free clinics in nashville tennessee,0,15,0,19.133333333333333
free clinics nashville,0,6,0,24.5
free clinics nashville tn,0,3,0,37
free clinics near me,0,6,0,5.166666666666667
free clinics near me for pregnancy,0,1,0,53
free clinics to get tested,0,1,0,12
free condoms,0,2,0,13
free condoms near me,0,1,0,4
free diabetes clinic near me,0,1,0,6
"free dna testing in memphis, tn",0,1,0,2
free doctor check up near me,0,1,0,1
free doctor near me,0,1,0,4
free doxypep near me,0,1,0,2
free drug test near me,0,6,0,56.333333333333336
free emergency contraception near me,0,1,0,2
free flu shot,0,1,0,7
free flu shot nashville,0,2,0,3.5
free flu shots near me,0,2,0,15
free flu testing near me,0,2,0,6.5
free flu vaccines near me,0,2,0,2
free health care clinic near me,0,2,0,1
free health care near me,0,3,0,9.666666666666666
free health check up near me,0,3,0,69.33333333333333
free health clinic,0,1,0,29
free health clinic nashville,0,15,0,10.933333333333334
free health clinics near me,0,4,0,4.5
free health screening near me,0,1,0,15
free healthcare clinic near me,0,1,0,32
free healthcare programs,0,1,0,6
free heart health screening near me,0,1,0,10
free hep c testing near me,0,728,0,1.2142857142857142
free hep c treatment near me,0,5,0,6
free hepatitis a vaccine near me,0,1,0,1
free hepatitis c testing,0,3,0,13
free hepatitis c testing near me,0,1,0,2
free herpes testing,0,8,0,3.875
free herpes testing near me,0,1,0,4
free hiv and std testing,0,5,0,4.4
free hiv and std testing near me,0,6,0,3.6666666666666665
free hiv care services,0,1,0,11
free hiv clinic,0,2,0,11.5
free hiv clinic near me,0,3,0,5
free hiv rapid testing near me,0,1,0,6
free hiv screening,0,1,0,1
free hiv std testing,0,1,0,2
free hiv std testing near me,0,2,0,7.5
free hiv test,0,16,0,4.8125
free hiv test near me,0,11,0,7.636363636363637
free hiv testing,0,22,0,5.045454545454546
free hiv testing clinic,0,1,0,6
free hiv testing memphis tn,0,1,0,2
free hiv testing nashville,0,36,0,15.36111111111111
free hiv testing near me same day,0,2,0,2
free hiv testing near me within 5 mi,0,1,0,9
free hiv tests,0,2,0,5.5
free hiv tests near me,0,1,0,2
free hiv treatment,0,2,0,2
free hiv trsting,0,1,0,1
free hpv testing near me,0,3,0,31
free hsv2 testing near me,0,1,0,2
free legal clinic,0,1,0,9
free low cost clinics near me,0,3,0,8.666666666666668
free medical clinic nashville,0,4,0,14
free medical clinic near me,0,2,0,31
free meningitis vaccine for college students near me,0,1,0,2
free mental health services for undocumented immigrants,0,1,0,12
free mobile health clinic,0,1,0,10
free or low cost clinics near me,0,1,0,8
free or low cost std testing near me,0,2,0,5.5
free or low cost sti testing clinics,0,1,0,12
free or low cost sti testing clinics us,0,1,0,13
free pap smear,0,1,0,7
free pediatric clinic,0,1,0,16
free physical exams,0,1,0,5
free pregnancy blood test near me,0,2,0,9.5
free prep,0,1,0,6
free rapid hiv test,0,1,0,5
free rapid hiv testing,0,1,0,3
free rapid hiv testing near me,0,3,0,6.666666666666667
free rapid sti testing,0,1,0,5
free rapid sti testing near me,0,1,0,2
free rapid testing near me,0,1,0,8
free same day std testing near me,0,2,0,7
free same day sti testing,0,5,0,6.2
free sex clinic,0,1,0,7
free sex clinic near me,0,1,0,1
free sexual health test,0,1,0,11
free sport physical exam near me,0,1,0,8
free std,0,3,0,10.666666666666666
free std and hiv testing,0,2,0,1
free std and hiv testing near me,0,6,0,6.5
free std and sti testing,0,7,0,1.1428571428571428
free std check,0,4,0,4.75
free std check near me,0,8,0,3.375
free std check up,0,1,0,11
free std check up near me,0,2,0,2
free std check ups,0,1,0,12
free std checking near me,0,1,0,5
free std checks,0,1,0,4
free std clinic,0,11,0,4.090909090909091
free std clinic near me,0,30,0,4.633333333333333
free std clinic testing near me,0,1,0,8
free std clinics,0,3,0,6.666666666666667
free std clinics near me,0,2,0,4
free std consultation,0,1,0,10
free std health clinic near me,0,1,0,7
free std hiv testing,0,2,0,1
free std medication,0,1,0,2
free std panel near me,0,1,0,12
free std panel testing near me,0,2,0,12
free std screening,0,8,0,2.625
free std screening near me,0,1,0,1
free std sti testing,0,6,0,4.833333333333334
free std sti testing near me,0,2,0,6
free std teat,0,1,0,9
free std test,0,15,0,8.333333333333332
free std test near me,0,9,0,7
free std testimg,0,1,0,2
free std testinf,0,1,0,11
free std testing and treatment near me,0,3,0,10.333333333333334
free std testing at home,0,1,0,16
free std testing center,0,1,0,11
free std testing clarksville,0,1,0,20
free std testing clarksville tn,0,1,0,40
free std testing clinic,0,3,0,15.333333333333334
free std testing clinics near me,0,7,0,7.142857142857143
free std testing dayton,0,1,0,44
free std testing dekalb county,0,1,0,76
free std testing erie pa,0,2,0,1
free std testing in memphis,0,3,0,9.333333333333334
free std testing jackson tn,0,4,0,40.5
free std testing knoxville,0,4,0,42
free std testing memphis tn,0,3,0,4.333333333333334
free std testing murfreesboro,0,1,0,48
free std testing near,0,2,0,1.5
free std testing near me same day results,0,1,0,7
free std testing near me walk in,0,1,0,2
free std testing near me walk-in,0,2,0,12
free std testing nearby,0,1,0,1
free std testing nesr me,0,1,0,1
free std testing newr me,0,1,0,11
free std testing no insurance,0,1,0,2
free std testing open now,0,1,0,4
free std testing same day results,0,1,0,2
free std testing sites near me,0,5,0,2.4
free std testing spring valley,0,1,0,38
free std tests,0,4,0,9.5
free std treatment,0,3,0,1.6666666666666665
free std treatment near me,0,3,0,10
free std trsting,0,3,0,1
free std trsting near me,0,1,0,2
free std walk in clinic near me,0,1,0,11
free std.testing,0,2,0,6.5
free std/sti testing,0,2,0,5
free std/sti testing near me,0,1,0,12
free stds test,0,1,0,4
free stds testing near me,0,1,0,2
free sti,0,3,0,4.666666666666666
free sti and hiv testing,0,1,0,9
free sti and hiv testing near me,0,3,0,1.3333333333333333
free sti and std testing,0,1,0,9
free sti check,0,2,0,1
free sti clinic,0,1,0,9
free sti clinic near me,0,14,0,5.214285714285714
free sti clinics,0,1,0,11
free sti screening,0,5,0,4.2
free sti screening near me,0,2,0,8
free sti test,0,1,0,2
free sti test near me,0,20,0,6.85
free sti testing and treatment near me,0,2,0,6
free sti testing clinic near me,0,2,0,5.5
free sti testing clinics,0,2,0,6.5
free sti testing memphis,0,4,0,1.25
free sti testing nashville,0,16,0,2.6875
free sti testing near me,0,20,0,2.65
free sti testing planned parenthood,0,1,0,3
free sti testing without insurance,0,1,0,1
free sti testing.,0,1,0,1
free sti tests,0,3,0,7
free sti treatment near me,0,4,0,18.5
free sti/std testing near me,0,1,0,1
free syphilis testing,0,1,0,2
free syphilis testing near me,0,2,0,6.5
free syringes near me,0,2,0,3
free tb skin test,0,1,0,3
free tb skin test near me,0,4,0,5.25
free tb test for employment,0,1,0,10
free tb testing,0,1,0,17
free tb tests,0,1,0,2
free tdap vaccine near me,0,1,0,4
free test clinic,0,1,0,1
free test clinic near me,0,2,0,1
free testing,0,3,0,7.666666666666667
free testing centers near me,0,1,0,9
free testing clinic,0,11,0,7.454545454545454
free testing clinic near me,0,27,0,5.074074074074074
free testing clinics near me,0,1,0,1
free testing for chlamydia near me,0,1,0,1
free testing for std,0,2,0,7
free testing for stds near me,0,3,0,5.333333333333333
free testing near me,0,9,0,18
free testing std,0,2,0,10
free testing sti,0,1,0,7
free titer test near me,0,1,0,8
free uti testing,0,1,0,2
free uti testing near me,0,3,0,3
free vaccine clinic near me,0,2,0,10
free vaccines near me,0,2,0,3.5
free walk in clinic for std testing near me,0,1,0,11
free walk in clinic near me,0,1,0,5
free walk in clinic no insurance,0,1,0,1
free walk in sti testing,0,2,0,1.5
free walk-in hiv testing near me,0,1,0,12
free women's clinic near me,0,2,0,10
freecare,0,1,0,2
friend health on 62nd and cottage grove,0,1,0,92
friends clinic,0,3,0,4.666666666666666
friends family health center,0,2,0,64
friends for all,0,5,0,8.4
friends health,0,1,0,49
friends medical laboratory,0,1,0,83
from us to you services,0,2,0,67
from us too you services,0,1,0,11
fsc clinic,0,1,0,1
full panel std test,0,4,0,7.5
full panel std test near me,0,5,0,8
full panel std testing,0,2,0,3.5
full panel testing near me,0,2,0,10
full panel.std test,0,1,0,6
full std panel,0,2,0,6
full std panel test,0,1,0,2
full std panel test near me,0,1,0,9
full std panel testing near me,0,1,0,10
full std testing near me,0,1,0,15
full sti test,0,1,0,4
gay clinic near me,0,4,0,6
gay friendly doctors near me,0,1,0,7
gc test medical,0,1,0,2
gcct testing,0,1,0,3
gender affirming care near me,0,1,0,2
gender affirming clinic near me,0,1,0,4
get an std test near me,0,1,0,11
get checked for std near me,0,1,0,11
get hiv test,0,1,0,1
get std test near me,0,1,0,11
get std tested near me,0,1,0,1
get tested,0,1,0,3
get tested for free near me,0,1,0,12
get tested for std near me,0,1,0,10
get tested for stds near me,0,5,0,11
get tested for stds near me free,0,2,0,10.5
get tested near me,0,4,0,6.25
ghonorea,0,1,0,8
gmhc testing center,0,1,0,44
gonorea,0,1,0,7
gonorhea,0,1,0,8
gonoriya,0,1,0,8
gonorrhea,0,6,0,6.5
gonorrhea symptom,0,1,0,3
gonorrhea symptoms,0,3,0,4
gonorrhea test,0,5,0,5.8
gonorrhea testing,0,1,0,9
gonorrhea treatment,0,3,0,6.666666666666667
graith care,0,1,0,48
great care health services,0,15,0,38.733333333333334
h7617 089 04 - local ppo,0,2,0,30
haart clinic,0,8,0,60.625
hassle free clinic,0,1,0,97
heal 360,0,1,0,11
health,0,1,0,28
health 360,0,70,0,40.371428571428574
health 360 integrated care clinic,0,1,0,56
health 360 near me,0,5,0,14
health 360 wellness clinic,0,2,0,12.5
health 419,0,1,0,41
health assessments near me,0,3,0,75.33333333333333
health care,0,3,0,15.333333333333334
health care 360,0,11,0,40.54545454545455
health care for the uninsured,0,1,0,1
health care for you,0,6,0,85.16666666666667
health care nashville,0,5,0,30.4
health care pharmacy,0,1,0,23
health care to you,0,54,0,75.87037037037037
health checks 360,0,1,0,94
health clinic nashville,0,8,0,17.25
health clinic near me,0,1,0,27
health clinic std testing,0,4,0,3.25
health clinic std testing near me,0,3,0,4.333333333333334
health department std testing,0,1,0,16
health link 360,0,1,0,74
health places near me,0,1,0,1
health services,0,13,0,20.23076923076923
health services near me,0,1,0,14
health to health,0,5,0,78.2
health to you,0,1,0,49
health watchers 360,0,1,0,59
healthcare 2 you,0,1,0,74
healthcare 360,0,11,0,55.72727272727273
healthcare clinic,0,1,0,8
healthcare clinicians and leaders nashville,0,1,0,9
healthcare foundation nashville tennessee,0,14,0,49.857142857142854
healthcare in nashville tn,0,1,0,42
healthcare nashville,0,1,0,17
healthcare services,0,2,0,51.5
healthcare to you,0,67,0,70.95522388059702
healthcare without insurance,0,1,0,6
healthcare4u,0,1,0,51
healthcares,0,1,0,12
healthvana clinic,0,2,0,46.5
healthvana testing,0,1,0,50
healthvana testing locations,0,1,0,1
healthymd clinic,0,2,0,87
heart check up memphis tn,0,1,0,26
heartshare wellness clinic,0,1,0,61
helath 360,0,1,0,2
help 360,0,1,0,3
hep b testing near me,0,1,0,1
hep c testing near me,0,1,0,7
hep.c treatment,0,1,0,10
hepatitis b clinic near me,0,1,0,8
hepatitis c testing near me,0,1,0,4
hepatitis testing near me,0,3,0,8.333333333333332
her health 360 nashville,0,29,0,8.96551724137931
here4u,0,1,0,52
herpes care at home,0,1,0,15
herpes cleanse,0,1,0,5
herpes clinic,0,1,0,10
herpes doctor,0,1,0,1
herpes down there women,0,1,0,10
herpes locations,0,1,0,9
herpes med,0,1,0,3
herpes specialist doctor,0,1,0,22
herpes support groups nashville tn,0,1,0,13
herpes test,0,7,0,7
herpes test near me,0,5,0,7.4
herpes testing,0,1,0,5
herpes testing near me,0,5,0,5.8
herpes treatment,0,3,0,10.666666666666666
higher care,0,14,0,39.285714285714285
higher care clinic,0,2,0,94.5
his care,0,3,0,57.333333333333336
hiv,0,10,0,10.7
hiv aids,0,1,0,10
hiv aids clinic near me,0,1,0,3
hiv aids testing,0,1,0,6
hiv aids tests,0,2,0,7
hiv and hepatitis test,0,1,0,6
hiv and std testing,0,3,0,3.3333333333333335
hiv assistance programs,0,1,0,4
hiv at home test,0,1,0,2
hiv at home testing,0,4,0,8.5
hiv at home tests,0,1,0,12
hiv care,0,2,0,1
hiv care near me,0,5,0,2
hiv care solutions,0,1,0,1
hiv case management near me,0,7,0,5.714285714285714
hiv center near me,0,9,0,2.5555555555555554
hiv check up,0,2,0,5
hiv clinic,0,15,0,1.4
hiv clinic nashville,0,16,0,2.0625
hiv clinic near me,0,31,0,4.516129032258064
hiv clinic near me open now,0,1,0,7
hiv clinics,0,4,0,2.25
hiv clinics near me,0,4,0,1.75
hiv community,0,2,0,4
hiv doctor,0,3,0,10
hiv doctor near me,0,1,0,6
hiv doctors,0,1,0,9
hiv doctors near me,0,1,0,8
hiv free medication,0,2,0,7
hiv free test,0,1,0,9
hiv free testing,0,2,0,1
hiv health clinic near me,0,1,0,1
hiv help center,0,1,0,2
hiv helpline 24 hours,0,2,0,11
hiv home test kit near me,0,1,0,14
hiv home testing,0,1,0,8
hiv in memphis,0,1,0,11
hiv kit near me,0,6,0,9.833333333333334
hiv medication without insurance,0,1,0,7
hiv nashville,0,12,0,2.166666666666667
hiv nonreactive,0,1,0,2
hiv pep treatment,0,2,0,13
hiv pharmacy,0,1,0,14
hiv post exposure treatment,0,1,0,13
hiv prep,0,2,0,8
hiv prep drugs,0,4,0,11
hiv prep medication,0,1,0,7
hiv prep medicine,0,1,0,7
hiv prevention injections,0,1,0,14
hiv primary care,0,1,0,4
hiv programs near me,0,1,0,1
hiv rapid,0,1,0,7
hiv rapid test,0,5,0,3.8
hiv rapid test near me,0,8,0,7.75
hiv rapid testing,0,3,0,3.6666666666666665
hiv rapid testing near me,0,1,0,6
hiv saliva test,0,1,0,7
hiv same day results near me,0,1,0,5
hiv screening,0,2,0,5
hiv screening test,0,1,0,5
hiv self test,0,2,0,11.5
hiv services,0,1,0,1
hiv services near me,0,1,0,1
hiv shots,0,1,0,6
hiv specialist,0,1,0,2
hiv specialist near me,0,1,0,13
hiv std clinic,0,1,0,6
hiv std testing,0,1,0,1
hiv std testing near me,0,6,0,4.5
hiv std?,0,1,0,9
hiv store,0,1,0,1
hiv support,0,1,0,13
hiv support groups,0,1,0,2
hiv test,0,37,0,2.891891891891892
hiv test at hospital,0,1,0,10
hiv test at pharmacy,0,2,0,8
hiv test center,0,2,0,7
hiv test centers,0,1,0,6
hiv test cheap,0,1,0,1
hiv test clinic,0,1,0,1
hiv test clinic near me,0,1,0,9
hiv test for free,0,2,0,3
hiv test for free near me,0,1,0,9
hiv test free near me,0,2,0,8.5
hiv test in hospital,0,1,0,8
hiv test near me,0,21,0,6.571428571428571
hiv test near me free,0,2,0,9
hiv testinf,0,1,0,2
hiv testing center near me,0,1,0,8
hiv testing clinic near me,0,5,0,5
hiv testing clinics,0,2,0,1
hiv testing for free,0,1,0,1
hiv testing free,0,3,0,1
hiv testing free near me,0,2,0,9.5
hiv testing kits,0,2,0,10
hiv testing locations near me,0,1,0,7
hiv testing memphis,0,2,0,1
hiv testing near me for free,0,1,0,12
hiv testing near me free,0,6,0,9.166666666666666
hiv testing near me open now,0,1,0,12
hiv testing near me tennessee,0,1,0,13
hiv testing same day results,0,1,0,7
hiv testing site,0,1,0,1
hiv tests,0,3,0,6.666666666666667
hiv treated,0,1,0,14
hiv treatment,0,6,0,7.833333333333333
hiv treatment clinics,0,1,0,17
hiv treatment for newborn,0,1,0,15
hiv treatment free,0,1,0,2
hiv treatment injection,0,1,0,7
hiv vs aids,0,1,0,4
hiv/aids,0,2,0,8.5
hiv/std testing near me,0,3,0,9
hiv抗體,0,1,0,5
home based primary care nashville,0,1,0,34
home health care assessment nashville,0,53,0,57.24528301886792
home health care near me,0,74,0,49.932432432432435
home health care services near me,0,5,0,52.4
home health check,0,2,0,64
home health in nashville tn,0,1,0,89
home hiv test near me,0,2,0,2.5
home response 360,0,1,0,4
home std test near me,0,1,0,95
hospital 360,0,1,0,11
house call doctor nashville,0,2,0,30
house cleaning company,0,1,0,1
house clinic,0,3,0,1.6666666666666665
house dr,0,3,0,5.333333333333333
house health,0,1,0,1
house pharmacy,0,1,0,9
how long does it take for herpes to show up,0,1,0,5
how to get hiv tested for free,0,1,0,5
how to get rid of chlamydia,0,2,0,4.5
how to heal a sti,0,1,0,8
hpv testing,0,2,0,4.5
hpv testing near me,0,3,0,2.666666666666667
hpv treatment,0,1,0,10
hpv treatment near me,0,1,0,5
hrt nashville,0,2,0,56.5
hrt nashville tn,0,14,0,97.78571428571429
hsv blood test near me,0,1,0,1
hsv doctor near me,0,1,0,1
hsv swab test near me,0,1,0,1
hsv testing,0,15,0,5.2
hsv testing free,0,2,0,2
hsv testing near me,0,3,0,5
hsv vaccine,0,1,0,14
hsv1 testing near me,0,1,0,4
hsv1 treatment,0,1,0,8
hydrocronic clinic,0,1,0,3
i can't afford my medication,0,1,0,8
i care,0,1,0,2
icare accredited clinic near me,0,1,0,2
icc clinic,0,1,0,3
imagine 360 providers near me,0,3,0,3
immediate care,0,6,0,1
in house clinic,0,1,0,7
in house health,0,1,0,2
inclusive care,0,2,0,54.5
inclusive health,0,9,0,2
inclusive health clinic,0,1,0,98
inclusive health services,0,35,0,46.285714285714285
inclusive health therapies,0,1,0,9
inclusive healthcare,0,4,0,94.75
inclusivecare,0,1,0,3
infidelity test kit near me,0,1,0,2
injectable prep near me,0,1,0,3
innercare,0,1,0,5
inr clinic,0,1,0,4
instant hiv test near me,0,3,0,6
instant std test near me,0,2,0,9
it cares,0,1,0,74
iud removal near me,0,3,0,5.666666666666667
iud replacement near me,0,1,0,1
jackson tn std clinic,0,1,0,50
jerilyn lundquist,0,1,0,12
jesse nash health center,0,2,0,78.5
job support nashville mental health,0,1,0,21
just be you health services,0,1,0,48
katrevia campbell,0,16,0,19.5
kc clinic,0,1,0,1
kentucky care,0,6,0,1.8333333333333335
kentucky cares,0,1,0,1
key life human services,0,1,0,27
keycare,0,1,0,3
kimberly cares,0,3,0,53
klinik terdekat,0,1,0,1
kroger clinic near me,0,2,0,13.5
kroger volunteer opportunities,0,1,0,11
late term abortion nashville tn,0,2,0,9.5
lauren mckenna hcs,0,3,0,64.66666666666666
lentz clinic,0,10,0,74.9
lentz clinic nashville tn,0,2,0,59.5
lentz clinic on charlotte,0,1,0,84
lentz health center,0,3,0,82
lentz health center nashville,0,3,0,80.33333333333333
lentz health clinic,0,7,0,88.71428571428571
lentz health clinic nashville,0,2,0,73.5
lentz public health,0,2,0,58.5
lentz public health center,0,13,0,73.92307692307692
lgbt friendly doctors nashville,0,10,0,29.9
lgbtq doctors,0,1,0,3
lgbtq friendly health centers with laboratory and pharmacy on site,0,1,0,5
lgbtq health clinic near me,0,1,0,8
lgbtq healthcare nashville,0,1,0,11
lgbtq std testing near me,0,1,0,1
little clinic near me,0,1,0,15
live2540,0,2,0,54.5
liver function test near me,0,1,0,11
local guide program,0,2,0,1
local health services,0,1,0,1
local sti testing,0,1,0,1
local sti testing near me,0,1,0,1
low cost clinic,0,2,0,1
low cost clinics,0,1,0,1
low cost dr near me,0,2,0,1
low cost healthcare near me,0,1,0,1
low cost medical clinic,0,1,0,24
low cost medical clinics near me,0,1,0,7
low cost no insurance clinic near me,0,1,0,9
low cost or free healthcare,0,1,0,7
low cost std clinic near me,0,1,0,11
low cost std testing near me,0,2,0,4
low income clinic,0,2,0,29
low income clinic near me,0,1,0,40
low income doctor near me,0,1,0,25
low income doctors near me,0,1,0,8
low income dr near me,0,5,0,1
low income health clinic near me,0,3,0,20
low income medical clinic,0,1,0,35
low income primary care,0,1,0,8
matter health nashville,0,11,0,35.72727272727273
matter health of tennessee,0,2,0,63
mcarthur vanosdale,0,8,0,27.875
mcas medical,0,1,0,9
mchur care,0,1,0,34
mcpc nashville,0,1,0,36
med card,0,1,0,9
medical 360,0,1,0,1
medical analysis clinic,0,1,0,3
medical check up near me,0,1,0,43
medical clinic center,0,1,0,58
medical clinic nashville,0,1,0,40
medical clinics near me,0,2,0,27.5
medical doctors near me,0,2,0,48
medical help for low income adults,0,1,0,2
medical hiv,0,2,0,7
medical house calls nashville,0,1,0,33
medical volunteer opportunities nashville,0,1,0,12
meds for chlamydia,0,1,0,4
medstar std testing,0,1,0,64
memphis health department,0,1,0,26
memphis hiv,0,5,0,10
memphis std testing,0,19,0,13.157894736842104
men herpes symptoms,0,1,0,3
menna alshabrawey,0,1,0,12
mens std testing near me,0,1,0,1
mental health 360,0,1,0,4
mini clinic,0,2,0,10
mini clinics near me,0,1,0,18
minority aids support services,0,1,0,57
mississippi cares,0,1,0,58
mnps health clinic,0,1,0,96
mobile adult care,0,1,0,42
mobile health vehicle,0,1,0,90
mobile medical clinics,0,1,0,2
mobile std testing near me,0,1,0,13
mulier care,0,1,0,47
music city prep clinic,0,1,0,80
my,0,2,0,3
my 360,0,2,0,2
my care,0,17,0,3.588235294117647
my care 360,0,21,0,12.238095238095237
my care clinic,0,2,0,1
my choice pill,0,2,0,5
my clinc,0,1,0,1
my clini,0,1,0,1
my clinic,0,4,0,1
my healt,0,1,0,2
my health,0,5,0,5
my health at home,0,1,0,6
my health portal,0,2,0,7
my house,0,6,0,1.1666666666666667
"my house, inc.",0,1,0,1
mycare,0,4,0,3.25
mychart std testing,0,1,0,6
mycoplasma genitalium test near me,0,2,0,4.5
mycoplasma genitalium testing near me,0,2,0,7
myhouse,0,5,0,2.2
mystdtest,0,1,0,8
naat testing,0,1,0,13
nafc clinics near me,0,1,0,4
nash clinic,0,1,0,5
nashville 360,0,5,0,17.2
nashville aids walk,0,2,0,54
nashville care center,0,7,0,1.4285714285714286
nashville cares jobs,0,15,0,12.2
nashville cares latest,0,4,0,15.5
nashville cares logo,0,1,0,11
nashville cares official website,0,3,0,9
nashville cares pci dss compliance nashvillecares.org,0,6,0,9.5
"nashville cares, social service, nashville",0,140,0,11.492857142857142
nashville clinic,0,11,0,12.909090909090908
nashville free clinic,0,20,0,8.1
nashville free std testing,0,18,0,14.166666666666666
nashville health care,0,1,0,1
nashville health care center,0,1,0,14
nashville health department std testing,0,3,0,9
nashville health services,0,5,0,76.8
nashville healthcare,0,1,0,95
nashville hiv,0,3,0,2
nashville lifecare planning,0,2,0,63
nashville mssp,0,1,0,60
nashville pharmacy,0,1,0,61
nashville prep clinic,0,19,0,78.05263157894737
nashville std clinic,0,68,0,30.279411764705884
nashville std testing,0,412,0,28.20631067961165
nashville std testing free,0,22,0,10
nashville trans,0,1,0,1
nashville transgender,0,1,0,2
nashville urgent care,0,3,0,26
nashvillecaremanager.com owner,0,20,0,8.1
nashvillecares.org,0,19,0,2.3157894736842106
nat hiv test near me,0,3,0,1
nat hiv testing,0,1,0,2
nat test for hiv near me,0,1,0,2
nautilus pharmacy nashville,0,1,0,14
needle exchange nashville,0,32,0,71.09375
neighbor health clinic,0,1,0,12
neighborhood health welshwood,0,1,0,48
new care,0,1,0,1
next care,0,2,0,5
nextcare,0,11,0,1.1818181818181819
nextcare urgent care,0,77,0,1.1948051948051948
no insurance clinic near me,0,1,0,27
no insurance clinics,0,1,0,37
no insurance clinics near me,0,1,0,1
no insurance dr,0,149,0,1.0671140939597314
no insurance healthcare near me,0,1,0,1
no insurance medical,0,1,0,3
no insurance sti testing,0,1,0,2
non profit clinics near me,0,1,0,1
non reactive hiv test meaning,0,1,0,2
nonprofit clinics,0,1,0,4
nonprofit clinics near me,0,1,0,1
nonprofit medical clinic,0,1,0,7
nonprofit medical clinics near me,0,1,0,1
norovirus testing near me,0,1,0,2
nyc care,0,1,0,5
one to one clinic,0,3,0,86.66666666666667
options 360,0,1,0,47
oral hiv testing,0,1,0,2
organizations that help with prescription costs,0,1,0,6
otc hiv test,0,1,0,8
other clinic,0,1,0,9
our house health clinic,0,1,0,13
outcare health,0,1,0,13
over the counter pep,0,1,0,1
overfelt clinic,0,1,0,85
pap smear near me no insurance,0,1,0,1
pap smear no insurance near me,0,1,0,5
pap smear test near me,0,2,0,4.5
pap smear urgent care,0,1,0,17
pap test near me,0,1,0,1
patch clinic,0,1,0,3
patient care,0,1,0,1
patient portal,0,1,0,1
patient service,0,1,0,6
pca healthcare,0,1,0,4
"pca jobs near me nashville, tennessee",0,2,0,11
pca medical,0,2,0,6
pca programs near me,0,1,0,2
pca services,0,4,0,5
penicillin shot near me,0,1,0,2
pep clinic,0,7,0,3.4285714285714284
pep clinic near me,0,2,0,1.5
pep near me hiv,0,1,0,9
pep treatment,0,1,0,4
pep treatment near me,0,1,0,6
personal care near me,0,6,0,75.66666666666667
personal care services,0,4,0,21
pharmacy 360,0,1,0,2
pharmacy building,0,1,0,10
pharmacy in nashville tn,0,1,0,141
pharmacy near me,0,6,0,62
pharmacy volunteer opportunities near me,0,1,0,2
phone number to community care,0,1,0,1
places that do free std testing near me,0,1,0,39
places that do std testing for free,0,1,0,1
places to get a physical near me,0,1,0,1
places to get an std test near me,0,1,0,14
places to get checked for stds near me,0,1,0,12
places to get free std testing near me,0,1,0,2
places to get std tested for free near me,0,2,0,10.5
places to get std tested near me,0,3,0,10
places to get tested for herpes near me,0,1,0,7
places to get tested for stds near me,0,4,0,10.25
pls provide top 5 gender affirming care providers near me,0,1,0,13
point of care sti testing,0,1,0,5
portal.care360.com,0,3,0,61.333333333333336
positive assistance,0,1,0,68
positive care center,0,4,0,83.25
positive care clinic,0,4,0,55.5
positively u,0,4,0,67.75
post hiv exposure treatment,0,1,0,14
ppd test,0,1,0,5
ppd testing,0,1,0,5
practical health,0,1,0,2
pregnancy test near me,0,1,0,11
prep clinic,0,2,0,1
prep clinic nashville,0,33,0,84
prep hiv near me,0,1,0,9
prep hiv vaccine,0,1,0,9
prep medication,0,2,0,11.5
prep medication near me,0,3,0,1.6666666666666665
preventive care near me,0,1,0,1
preventive healthcare nashville,0,3,0,61.666666666666664
